description,calories,protein,carbs,fat
"Turkey and ham sandwich on wheat with Pasta, vegetable, cooked and Burrito bowl, beef or pork, with beans and rice with Egg, whole, boiled or poached",571.5,37.1,74.1,13.3
"Turkey and ham sandwich on white with Sushi roll tuna and Bacon, lettuce, tomato sandwich on white",472.8,31.9,63.1,9.5
"Turkey, prepackaged or deli, luncheon meat, reduced sodium with Vegetable sandwich wrap and Kidney beans and brown rice with Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",405.9,30.6,37.7,14.4
"Chili with chicken with Grilled cheese sandwich, American cheese, on wheat bread and Soup, bean, canned, reduced sodium",461.5,28.0,33.6,24.0
"Shrimp, fried with Fast foods, submarine sandwich, bacon, lettuce, and tomato on white bread and Soup, cream of tomato",479.5,23.0,42.2,24.3
"Rice, fried, with chicken with Chicken fillet sandwich, NFS",379.3,16.2,49.1,13.0
"Fajita, chicken with Veggie burger patty, no bun and Kidney beans, NFS with Cobb salad, no dressing",638.1,41.8,58.0,26.8
Shrimp cocktail with Hamburger slider,384.8,31.8,27.6,15.3
"Chickpeas, from canned, reduced sodium with Ham sandwich or sub, restaurant and Macaroni or pasta salad with meat with Club sandwich on wheat, with cheese",676.5,33.2,71.4,29.0
"Black beans, NFS with Sushi roll, vegetable and Caesar salad, with romaine, no dressing with Tuna salad sandwich on white, with cheese",485.5,20.7,59.4,18.4
"Burrito bowl, chicken, with beans and rice with Tuna salad sandwich wrap and Black beans with meat with Grilled cheese sandwich, American cheese, on white bread",701.7,41.8,57.2,34.0
"Egg salad sandwich on white with Hamburger (Burger King) and Kidney beans with meat with Burrito, beef, cheese",747.5,35.8,65.9,37.3
"Soup, chicken noodle, canned, condensed with Grilled cheese sandwich, cheddar cheese, on wheat bread with Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing",386.8,17.1,29.3,22.3
"Burrito bowl, chicken with Veggie burger, on bun, with cheese and Burrito bowl, chicken, with beans",617.9,57.6,36.5,26.1
"Pastrami, turkey with Fish wrap sandwich and Macaroni or pasta salad with shrimp",646.6,37.6,52.5,30.9
"Shrimp with lobster sauce with Rice, fried, NFS and Chicken salad sandwich on white with Egg, whole, boiled or poached",727.1,38.4,76.0,29.5
"Black bean sauce with Burrito bowl, chicken, with beans and rice and Burrito bowl, with beans with McDONALD'S, Cheeseburger",596.9,38.2,59.4,23.5
"Burrito bowl, chicken, with beans and rice with Turkey and ham sandwich on wheat and Black beans with meat",517.7,39.6,50.6,17.5
"Chicken fillet wrap sandwich, grilled, from fast food with Fast foods, submarine sandwich, bacon, lettuce, and tomato on white bread and Kidney beans with meat",670.8,45.8,63.4,25.5
"Rice, fried, with chicken with Meatloaf sandwich and Beans, liquid from stewed kidney beans with Grilled cheese sandwich, NFS",529.3,23.6,66.8,18.7
"Shrimp teriyaki with Chicken fillet wrap sandwich, grilled, from fast food and Soup, tomato, canned with Caesar salad, with romaine, no dressing",382.5,45.2,23.7,10.7
"Egg, whole, boiled or poached with Bread, pita, white, unenriched and Soup, bean, canned",416.5,22.6,54.2,11.9
"Fajita, shrimp with Pasta, vegetable, cooked and Soup, tomato",428.8,16.9,66.5,10.0
"Black beans with meat with Tuna salad sandwich on white and Caesar salad, with romaine, no dressing with Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing",506.4,27.9,47.6,23.0
"Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing with Hamburger (Burger King)",376.5,26.5,29.2,16.8
"Chicken tenders or strips, NFS with Falafel sandwich and Kidney beans and brown rice with Grilled cheese sandwich, NFS",748.7,35.9,68.3,37.2
"Chickpeas, from canned, no added fat with Italian sandwich or sub, restaurant and Nachos, with beans with Greek Salad, no dressing",551.4,23.7,52.5,28.2
"BURGER KING, Hamburger with Burrito bowl, chicken, with beans and rice",433.5,32.6,37.3,16.9
"Shrimp teriyaki with Sushi roll, salmon and Tuna salad sandwich on wheat, with cheese",485.0,43.8,34.2,18.2
"Black beans and brown rice with Burrito bowl, beef or pork, with rice and Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing with Cheese, processed cheese food",584.4,40.4,49.0,24.5
"Chicken breast, rotisserie, skin eaten with Meatloaf sandwich and Burrito bowl, beef or pork, with beans and rice with Nachos, cheese only",664.6,60.3,39.1,29.6
"Soup, miso or tofu with Turkey or chicken burger, on wheat bun and Crab salad with ON THE BORDER, cheese quesadilla",554.5,36.6,28.2,32.8
"Macaroni or pasta salad with shrimp with Turkey and ham sandwich on white and Spinach souffle with Cobb salad, no dressing",521.0,27.8,50.6,22.8
"Quesadilla, chicken with Turkey and ham sandwich on wheat and Soup, cream of tomato with Burrito, beef, cheese",593.1,33.1,60.1,24.1
"Turkey, retail parts, breast, meat and skin, raw with Hamburger, NFS with McDONALD'S, Cheeseburger",649.6,54.4,35.8,31.6
"Ham, ground with Burrito bowl, chicken, with beans and rice with Veggie burger, on bun, with cheese",391.5,38.4,21.0,16.3
Chicken salad spread with Chicken salad sandwich on wheat,480.5,26.9,25.3,29.9
"Macaroni or pasta salad with egg with Tuna salad sandwich on white, with cheese and Chicken salad sandwich wrap",722.7,29.5,56.1,42.1
"Black bean sauce with Tuna salad sandwich wrap with Tuna salad sandwich on wheat, with cheese",476.6,19.9,39.4,26.9
Ham with Gyro sandwich and Black beans and brown rice,360.1,27.8,35.0,12.0
"Chickpeas, from canned, no added fat with Grilled cheese sandwich, cheddar cheese, on white bread",394.4,16.7,37.9,20.1
"Turkey, all classes, breast, meat and skin, raw with Hamburger slider",414.3,38.4,17.1,20.1
"Turkey sandwich on white with Tuna salad sandwich on white with Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",486.0,28.4,53.4,17.5
"Veggie burger patty, no bun with Kidney beans and brown rice with ON THE BORDER, cheese quesadilla",490.2,28.0,53.2,18.6
"Fish, salmon, fried with Chicken fillet wrap sandwich, grilled, from fast food and Soup, tomato with Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",692.3,46.1,35.0,39.9
"Burrito bowl, chicken, with rice with Hamburger, NFS with Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",458.9,32.2,36.0,19.6
"Chicken salad sandwich on white with Chicken salad sandwich on wheat and Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",661.1,34.7,45.1,38.1
"Tuna salad with cheese with Roll, white, hoagie, submarine and Beans, liquid from stewed kidney beans with Tuna salad sandwich on white, with cheese",714.1,31.4,66.5,35.5
"Sushi, topped with egg with Chicken salad sandwich on wheat and Kidney beans with meat with Macaroni or noodles with cheese, Easy Mac type",428.0,24.0,39.1,19.5
"Tuna salad sandwich on white with Tuna salad sandwich on wheat and Nachos, with beans with Cheeseburger (Burger King)",671.6,27.0,60.9,36.0
